year,ksh_kod,telepules,jogallas,megye,terulet_ha,lakonepesseg,lakasok
2004,17376,Aba,nagyközség,Fejér,8805,4596,1476
2004,12548,Abaliget,község,Baranya,1609,633,226
2004,24554,Abasár,község,Heves,2666,3238,1422
2004,15662,Abaújalpár,község,Borsod-Abaúj-Zemplén,848,95,60
2004,26718,Abaújkér,község,Borsod-Abaúj-Zemplén,1728,656,282
2004,2820,Abaújlak,község,Borsod-Abaúj-Zemplén,706,110,85
2004,26338,Abaújszolnok,község,Borsod-Abaúj-Zemplén,865,156,71
2004,3595,Abaújszántó,város,Borsod-Abaúj-Zemplén,4736,3388,1285
2004,2273,Abaújvár,község,Borsod-Abaúj-Zemplén,732,342,157
2004,11882,Abda,község,Győr-Moson-Sopron,1902,3123,1052
2004,10357,Abod,község,Borsod-Abaúj-Zemplén,3116,282,127
2004,27872,Abony,város,Pest,12797,15778,6028
2004,12441,Abádszalók,nagyközség,Jász-Nagykun-Szolnok,13223,4623,2045
2004,18573,Acsa,község,Pest,2694,1562,464
2004,33385,Acsalag,község,Győr-Moson-Sopron,1045,469,224
2004,7214,Acsád,község,Vas,1434,653,180
2004,8925,Adony,város,Fejér,6105,3823,1437
2004,31307,Adorjánháza,község,Veszprém,1142,477,206
2004,6868,Adorjás,község,Baranya,810,187,64
2004,23241,Adács,község,Heves,3794,2945,1200
2004,7302,Adásztevel,község,Veszprém,853,838,312
2004,9362,Aggtelek,község,Borsod-Abaúj-Zemplén,4381,637,245
2004,29407,Agyagosszergény,község,Győr-Moson-Sopron,1990,932,353
2004,8776,Ajak,nagyközség,Szabolcs-Szatmár-Bereg,2476,3902,1267
2004,6673,Ajka,város,Veszprém,9505,31334,12256
2004,6682,Aka,község,Komárom-Esztergom,1810,291,134
2004,21944,Akasztó,község,Bács-Kiskun,6488,3479,1547
2004,33093,Alacska,község,Borsod-Abaúj-Zemplén,855,887,279
2004,26824,Alap,község,Fejér,4831,2094,900
2004,25265,Alattyán,község,Jász-Nagykun-Szolnok,3429,2050,899
2004,31653,Albertirsa,város,Pest,7296,11795,4396
2004,15176,Alcsútdoboz,község,Fejér,5071,1508,585
2004,6345,Aldebrő,község,Heves,2178,779,350
2004,34245,Algyő,nagyközség,Csongrád,7577,5411,1950
2004,2644,Alibánfa,község,Zala,584,471,163
2004,13329,Almamellék,község,Baranya,4433,491,166
2004,32346,Almásfüzitő,község,Komárom-Esztergom,819,2351,1123
2004,23384,Almásháza,község,Zala,498,60,22
2004,29595,Almáskamarás,község,Békés,1476,977,475
2004,20376,Almáskeresztúr,község,Baranya,1303,90,55
2004,20482,Alsóberecki,község,Borsod-Abaúj-Zemplén,686,854,285
2004,34184,Alsóbogát,község,Somogy,1201,301,94
2004,19664,Alsódobsza,község,Borsod-Abaúj-Zemplén,1069,396,158
2004,14429,Alsógagy,község,Borsod-Abaúj-Zemplén,628,110,56
2004,17385,Alsómocsolád,község,Baranya,1300,322,142
2004,19512,Alsónemesapáti,község,Zala,1451,754,284
2004,11563,Alsónyék,község,Tolna,3204,817,305
2004,29665,Alsónána,község,Tolna,1313,750,276
2004,23199,Alsónémedi,nagyközség,Pest,4907,4762,1909
2004,16425,Alsópetény,község,Nógrád,1968,751,310
2004,32081,Alsópáhok,község,Zala,1802,1285,571
2004,18829,Alsórajk,község,Zala,845,402,175
2004,23223,Alsóregmec,község,Borsod-Abaúj-Zemplén,1539,217,91
2004,8767,Alsószenterzsébet,község,Zala,963,89,40
2004,25283,Alsószentiván,község,Fejér,3965,655,288
2004,33279,Alsószentmárton,község,Baranya,1361,1103,272
2004,28839,Alsószuha,község,Borsod-Abaúj-Zemplén,2242,508,181
2004,22549,Alsószölnök,község,Vas,1002,404,169
2004,8217,Alsótelekes,község,Borsod-Abaúj-Zemplén,644,143,93
2004,7621,Alsótold,község,Nógrád,786,265,105
2004,29814,Alsóvadász,község,Borsod-Abaúj-Zemplén,2291,1558,449
2004,21032,Alsózsolca,nagyközség,Borsod-Abaúj-Zemplén,2602,6228,1803
2004,30526,Alsóörs,község,Veszprém,3334,1379,607
2004,22725,Alsóújlak,község,Vas,2102,623,303
2004,16197,Ambrózfalva,község,Csongrád,1122,565,246
2004,29975,Anarcs,község,Szabolcs-Szatmár-Bereg,1706,2056,657
2004,28714,Andocs,község,Somogy,4327,1182,478
2004,17987,Andornaktálya,község,Heves,1675,2739,942
2004,12317,Andrásfa,község,Vas,823,284,146
2004,34227,Annavölgy,község,Komárom-Esztergom,460,969,396
2004,20303,Apagy,község,Szabolcs-Szatmár-Bereg,3204,2294,828
2004,33561,Apaj,község,Pest,7104,1309,421
2004,26125,Aparhant,község,Tolna,1796,1139,371
2004,7241,Apc,község,Heves,2046,2768,1105
2004,21148,Apostag,község,Bács-Kiskun,3194,2099,963
2004,28370,Apácatorna,község,Veszprém,729,183,84
2004,14252,Apátfalva,község,Csongrád,5377,3288,1595
2004,8873,Apátistvánfalva,község,Vas,1286,395,157
2004,27298,Apátvarasd,község,Baranya,814,137,42
2004,9353,Aranyosapáti,község,Szabolcs-Szatmár-Bereg,2136,2174,700
2004,6886,Aranyosgadány,község,Baranya,826,361,126
2004,26198,Arka,község,Borsod-Abaúj-Zemplén,949,113,60
2004,14331,Arló,nagyközség,Borsod-Abaúj-Zemplén,4685,4156,1171
2004,3771,Arnót,község,Borsod-Abaúj-Zemplén,1754,2631,749
2004,4233,Aszaló,község,Borsod-Abaúj-Zemplén,2536,2049,636
2004,16188,Aszód,város,Pest,1621,6051,2205
2004,7339,Aszófő,község,Veszprém,832,381,151
2004,16090,Atkár,község,Heves,3376,1731,715
2004,32735,Attala,község,Tolna,2064,878,374
2004,5403,Babarc,község,Baranya,1885,817,310
2004,9663,Babarcszőlős,község,Baranya,425,138,66
2004,21263,Babosdöbréte,község,Zala,1252,501,201
2004,30474,Babócsa,község,Somogy,3099,1793,711
2004,15042,Babót,község,Győr-Moson-Sopron,2165,1148,461
2004,22327,Badacsonytomaj,város,Veszprém,3270,2272,1023
2004,3267,Badacsonytördemic,község,Veszprém,1025,872,417
2004,9131,Bag,nagyközség,Pest,2355,3933,1282
2004,20011,Bagamér,nagyközség,Hajdú-Bihar,4702,2493,1012
2004,11059,Baglad,község,Zala,486,60,43
2004,30368,Bagod,község,Zala,1639,1367,451
2004,29212,Baj,község,Komárom-Esztergom,2113,2720,1013
2004,3522,Baja,város,Bács-Kiskun,17761,37797,15648
2004,16744,Bajna,község,Komárom-Esztergom,3721,2027,741
2004,17020,Bajánsenye,község,Vas,2185,575,244
2004,29355,Bajót,község,Komárom-Esztergom,1644,1514,532
2004,4738,Bak,község,Zala,2305,1776,599
2004,14395,Bakháza,község,Somogy,592,247,83
2004,15167,Bakonszeg,község,Hajdú-Bihar,3502,1239,584
2004,8299,Bakonya,község,Baranya,1507,394,140
2004,24244,Bakonybánk,község,Komárom-Esztergom,1507,522,215
2004,23746,Bakonybél,község,Veszprém,2436,1392,567
2004,8730,Bakonycsernye,község,Fejér,3810,3200,1174
2004,28936,Bakonygyirót,község,Győr-Moson-Sopron,685,178,117
2004,29513,Bakonyjákó,község,Veszprém,4718,698,248
2004,7287,Bakonykoppány,község,Veszprém,683,225,119
2004,23153,Bakonykúti,község,Fejér,1246,99,65
2004,25991,Bakonynána,község,Veszprém,1493,1041,381
2004,30410,Bakonyoszlop,község,Veszprém,1420,545,210
2004,22062,Bakonypéterd,község,Győr-Moson-Sopron,1002,299,125
2004,6327,Bakonypölöske,község,Veszprém,1104,411,159
2004,23922,Bakonyszentiván,község,Veszprém,914,256,116
2004,22813,Bakonyszentkirály,község,Veszprém,2790,891,372
2004,5944,Bakonyszentlászló,község,Győr-Moson-Sopron,3851,1905,762
2004,22381,Bakonyszombathely,község,Komárom-Esztergom,3653,1528,597
2004,26417,Bakonyszücs,község,Veszprém,3521,365,155
2004,29902,Bakonyság,község,Veszprém,856,84,50
2004,25229,Bakonysárkány,község,Komárom-Esztergom,1413,977,388
2004,24129,Bakonytamási,község,Veszprém,2049,691,290
2004,29106,Baks,község,Csongrád,6192,2289,877
2004,3975,Baksa,község,Baranya,1382,824,255
2004,18184,Baktakék,község,Borsod-Abaúj-Zemplén,1879,744,294
2004,2325,Baktalórántháza,város,Szabolcs-Szatmár-Bereg,3525,4332,1165
2004,15097,Baktüttös,község,Zala,971,363,142
2004,22275,Bakóca,község,Baranya,1065,335,160
2004,22521,Balajt,község,Borsod-Abaúj-Zemplén,903,460,147
2004,13657,Balassagyarmat,város,Nógrád,2985,17708,6825
2004,11527,Balaton,község,Heves,1320,1237,455
2004,25308,Balatonakali,község,Veszprém,3620,733,272
2004,5838,Balatonalmádi,város,Veszprém,4989,8716,3776
2004,27377,Balatonberény,község,Somogy,2609,1212,618
2004,33853,Balatonboglár,város,Somogy,3204,6044,2567
2004,3072,Balatoncsicsó,község,Veszprém,1320,176,84
2004,12238,Balatonederics,község,Veszprém,1858,1102,452
2004,19460,Balatonendréd,község,Somogy,4002,1421,528
2004,20729,Balatonfenyves,község,Somogy,5193,1853,960
2004,7117,Balatonföldvár,város,Somogy,1532,2093,1078
2004,21175,Balatonfüred,város,Veszprém,4645,13148,5495
2004,29461,Balatonfőkajár,község,Veszprém,2192,1442,521
2004,2219,Balatonfűzfő,város,Veszprém,925,4195,1864
2004,17002,Balatongyörök,község,Zala,3759,890,384
2004,3638,Balatonhenye,község,Veszprém,1168,151,66
2004,5148,Balatonkenese,nagyközség,Veszprém,6553,3367,1549
2004,7375,Balatonkeresztúr,község,Somogy,2106,1595,646
2004,33862,Balatonlelle,város,Somogy,4323,4999,2076
2004,26462,Balatonmagyaród,község,Zala,3153,521,261
2004,14562,Balatonmáriafürdő,község,Somogy,2677,561,357
2004,33844,Balatonrendes,község,Veszprém,676,139,62
2004,16601,Balatonszabadi,község,Somogy,4134,2908,1088
2004,22822,Balatonszemes,község,Somogy,3602,1774,639
2004,21324,Balatonszentgyörgy,község,Somogy,2368,1659,651
2004,17154,Balatonszepezd,község,Veszprém,2506,425,191
2004,24907,Balatonszárszó,nagyközség,Somogy,3013,2003,875
2004,28501,Balatonszőlős,község,Veszprém,1282,552,165
2004,15565,Balatonudvari,község,Veszprém,1880,343,125
2004,3559,Balatonvilágos,község,Veszprém,2921,1217,561
2004,16470,Balatonújlak,község,Somogy,1081,570,261
2004,11916,Balatonőszöd,község,Somogy,1508,531,250
2004,31103,Balinka,község,Fejér,1861,1007,376
2004,26958,Balkány,város,Szabolcs-Szatmár-Bereg,8999,6806,2435
2004,13408,Ballószög,község,Bács-Kiskun,3500,2940,965
2004,2918,Balmazújváros,város,Hajdú-Bihar,20545,18073,6436
2004,5102,Balogunyom,község,Vas,1212,1241,391
2004,25937,Balotaszállás,község,Bács-Kiskun,10494,1647,811
2004,15963,Balsa,község,Szabolcs-Szatmár-Bereg,2251,932,430
2004,23676,Balástya,község,Csongrád,11000,3544,1920
2004,31422,Bana,község,Komárom-Esztergom,2513,1752,557
2004,26480,Barabás,község,Szabolcs-Szatmár-Bereg,3819,846,380
2004,7047,Baracs,község,Fejér,5518,3415,1237
2004,8581,Baracska,község,Fejér,3968,2729,948
2004,20464,Baranyahídvég,község,Baranya,849,227,86
2004,24749,Baranyajenő,község,Baranya,1555,525,165
2004,5485,Baranyaszentgyörgy,község,Baranya,727,178,76
2004,6196,Barbacs,község,Győr-Moson-Sopron,1365,763,301
2004,32799,Barcs,város,Somogy,12290,12168,4377
2004,27447,Barlahida,község,Zala,603,164,86
2004,15778,Barnag,község,Veszprém,1201,110,81
2004,15495,Basal,község,Baranya,404,208,71
2004,8846,Baskó,község,Borsod-Abaúj-Zemplén,2964,218,111
2004,18102,Battonya,város,Békés,14577,6708,3103
2004,24864,Batyk,község,Zala,809,409,193
2004,32337,Baté,község,Somogy,1028,866,292
2004,7427,Bazsi,község,Veszprém,910,460,206
2004,23144,Becsehely,község,Zala,3613,2279,733
2004,12016,Becske,község,Nógrád,1567,613,286
2004,27049,Becskeháza,község,Borsod-Abaúj-Zemplén,500,45,40
2004,18360,Becsvölgye,község,Zala,2140,859,352
2004,20710,Bedegkér,község,Somogy,2601,518,248
2004,33446,Bedő,község,Hajdú-Bihar,1020,296,145
2004,10384,Bejcgyertyános,község,Vas,3143,517,269
2004,6929,Bekecs,község,Borsod-Abaúj-Zemplén,2572,2538,899
2004,4400,Bekölce,község,Heves,1377,802,366
2004,28662,Belecska,község,Tolna,1439,451,142
2004,10588,Beled,nagyközség,Győr-Moson-Sopron,2647,2883,1092
2004,17127,Beleg,község,Somogy,1799,684,226
2004,9168,Belezna,község,Zala,3093,859,288
2004,8466,Beloiannisz,község,Fejér,454,1213,430
2004,20950,Belsősárd,község,Zala,979,117,43
2004,19008,Belvárdgyula,község,Baranya,1723,449,179
2004,25441,Benk,község,Szabolcs-Szatmár-Bereg,850,492,186
2004,2389,Bercel,község,Nógrád,3588,2030,715
2004,28246,Beregdaróc,község,Szabolcs-Szatmár-Bereg,2382,830,362
2004,20677,Beregsurány,község,Szabolcs-Szatmár-Bereg,1600,636,233
2004,18467,Berekböszörmény,község,Hajdú-Bihar,4284,1884,786
2004,34005,Berekfürdő,község,Jász-Nagykun-Szolnok,1857,912,435
2004,31927,Beremend,nagyközség,Baranya,4826,2808,1026
2004,34290,Berente,község,Borsod-Abaúj-Zemplén,920,1069,394
2004,29674,Beret,község,Borsod-Abaúj-Zemplén,678,263,86
2004,12788,Berettyóújfalu,város,Hajdú-Bihar,17098,15995,6058
2004,33127,Berhida,város,Veszprém,4266,6043,1946
2004,9034,Berkenye,község,Nógrád,1346,618,223
2004,16461,Berkesd,község,Baranya,1904,894,288
